phase,request,target,targetWord,eventType,instrument,starttime,timestamp,duration,PID,condition,KL,grab,onebyone,count,group1,group2,group3,more,response,spontaneousCounting,right,logic,words,utterances,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,nonnumber,kidaction,actor,flag,flagged
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898464235,6545,FL6,-,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898468162,10472,FL6,-,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898468336,10646,FL6,-,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898468534,10844,FL6,-,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898469359,11669,FL6,-,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898472026,14336,FL6,-,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898472202,14512,FL6,-,,3,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898472409,14719,FL6,-,,3,2,,3,,,,2,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898472586,14896,FL6,-,,3,2,,4,,,,3,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1720898457690,1720898472842,15152,FL6,-,,3,2,,5,,,,4,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,trial,trialsubmit,1720898457690,1720898473483,15793,FL6,-,,3,2,,5,,,,5,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898483530,10032,FL6,-,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898483688,10190,FL6,-,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898483894,10396,FL6,-,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898484091,10593,FL6,-,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898484359,10861,FL6,-,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898485660,12162,FL6,-,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898485919,12421,FL6,-,,5,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898486126,12628,FL6,-,,5,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898486286,12788,FL6,-,,5,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898486676,13178,FL6,-,,5,,,5,,,,4,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898487155,13657,FL6,-,,5,1,,5,,,,5,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,auto,accumulator,1720898473498,1720898488393,14895,FL6,-,,5,1,,6,,,,5,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put six fish on the plate?,6,six,trial,trialsubmit,1720898473498,1720898489661,16163,FL6,-,,5,1,,6,,,,6,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898498344,8677,FL6,-,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898498503,8836,FL6,-,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898498677,9010,FL6,-,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898498853,9186,FL6,-,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898499144,9477,FL6,-,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898501397,11730,FL6,-,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898501521,11854,FL6,-,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898501944,12277,FL6,-,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898502087,12420,FL6,-,,7,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put seven fish on the plate?,7,seven,auto,accumulator,1720898489667,1720898502278,12611,FL6,-,,7,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,true,,,
