phase,request,target,targetWord,eventType,instrument,starttime,timestamp,duration,PID,condition,KL,grab,onebyone,count,group1,group2,group3,more,response,spontaneousCounting,right,logic,words,utterances,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,nonnumber,kidaction,actor,flag,flagged
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721249687596,1721249699982,12386,NA2,&,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721249687596,1721249700274,12678,NA2,&,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721249687596,1721249700763,13167,NA2,&,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721249687596,1721249701023,13427,NA2,&,,,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put five fish on the plate?,5,five,auto,accumulator,1721249687596,1721249711725,24129,NA2,&,,,2,,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,
GiveN,Can you put five fish on the plate?,5,five,active,save_button,1721249687596,1721249734851,47255,NA2,&,,,2,,2,,,,2,,,1,,When asked how many say 100,,,,,,,,,,,,,,,,,,,
GiveN,Can you put five fish on the plate?,5,five,active,save_button,1721249687596,1721249736073,48477,NA2,&,,,2,,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,
GiveN,Can you put five fish on the plate?,5,five,trial,trialsubmit,1721249687596,1721249737918,50322,NA2,&,,,2,,2,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,
GiveN,Can you put four fish on the plate?,4,four,auto,accumulator,1721249737928,1721249744854,6926,NA2,&,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put four fish on the plate?,4,four,auto,accumulator,1721249737928,1721249745143,7215,NA2,&,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put four fish on the plate?,4,four,auto,accumulator,1721249737928,1721249745401,7473,NA2,&,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put four fish on the plate?,4,four,auto,accumulator,1721249737928,1721249746548,8620,NA2,&,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put four fish on the plate?,4,four,auto,accumulator,1721249737928,1721249746736,8808,NA2,&,,,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,true,,,
GiveN,Can you put four fish on the plate?,4,four,auto,accumulator,1721249737928,1721249746934,9006,NA2,&,,,3,,3,,,,2,,,,,,,,,,,,,,,,,,,,,true,,,
