PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,comments,flagged
FL3,-,,speech_act,,prompt,1723070060903,1723070069649,8746,GiveN,Can you put five fish on the plate?,5,five,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070071171,10268,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070071515,10612,GiveN,Can you put five fish on the plate?,5,five,,,,1,,1,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070072793,11890,GiveN,Can you put five fish on the plate?,5,five,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070073073,12170,GiveN,Can you put five fish on the plate?,5,five,1,,,1,1,2,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070074361,13458,GiveN,Can you put five fish on the plate?,5,five,2,,,1,2,2,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070074851,13948,GiveN,Can you put five fish on the plate?,5,five,2,,,1,2,3,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070075954,15051,GiveN,Can you put five fish on the plate?,5,five,3,,,1,3,3,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070077985,17082,GiveN,Can you put five fish on the plate?,5,five,3,,,1,3,4,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070081405,20502,GiveN,Can you put five fish on the plate?,5,five,4,,,1,4,4,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070060903,1723070081759,20856,GiveN,Can you put five fish on the plate?,5,five,4,,,1,4,5,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,trial,,trialsubmit,1723070060903,1723070083000,22097,GiveN,Can you put five fish on the plate?,5,five,5,,,1,4,5,,,,,,,,,,,,,,,,,,,,,true,,,
FL3,-,,auto,,accumulator,1723070083039,1723070092337,9298,GiveN,Can you put six fish on the plate?,6,six,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070092599,9560,GiveN,Can you put six fish on the plate?,6,six,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070093044,10005,GiveN,Can you put six fish on the plate?,6,six,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070093343,10304,GiveN,Can you put six fish on the plate?,6,six,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070094915,11876,GiveN,Can you put six fish on the plate?,6,six,2,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070095305,12266,GiveN,Can you put six fish on the plate?,6,six,2,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070098189,15150,GiveN,Can you put six fish on the plate?,6,six,3,,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070098734,15695,GiveN,Can you put six fish on the plate?,6,six,3,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,
FL3,-,,auto,,accumulator,1723070083039,1723070100226,17187,GiveN,Can you put six fish on the plate?,6,six,4,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,
