PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,comments,flagged
Other1,-,,auto,,accumulator,1722356396406,1722356405934,9528,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356396406,1722356406167,9761,GiveN,Can you put five fish on the plate?,5,five,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356396406,1722356406465,10059,GiveN,Can you put five fish on the plate?,5,five,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356396406,1722356406982,10576,GiveN,Can you put five fish on the plate?,5,five,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356396406,1722356408033,11627,GiveN,Can you put five fish on the plate?,5,five,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356396406,1722356439968,43562,GiveN,Can you put five fish on the plate?,5,five,1,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,trial,,trialsubmit,1722356396406,1722356443750,47344,GiveN,Can you put five fish on the plate?,5,five,1,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,clicktrial,1722356443752,1722356446764,3012,GiveN,Can you put four fish on the plate?,4,four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356446765,1722356449015,2250,GiveN,Can you put five fish on the plate?,5,five,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356446765,1722356449200,2435,GiveN,Can you put five fish on the plate?,5,five,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356446765,1722356449415,2650,GiveN,Can you put five fish on the plate?,5,five,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356446765,1722356449614,2849,GiveN,Can you put five fish on the plate?,5,five,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356446765,1722356450015,3250,GiveN,Can you put five fish on the plate?,5,five,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,trial,,trialsubmit,1722356446765,1722356451833,5068,GiveN,Can you put five fish on the plate?,5,five,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356451834,1722356493332,41498,GiveN,Can you put six fish on the plate?,6,six,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356451834,1722356493597,41763,GiveN,Can you put six fish on the plate?,6,six,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356451834,1722356493865,42031,GiveN,Can you put six fish on the plate?,6,six,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356451834,1722356494548,42714,GiveN,Can you put six fish on the plate?,6,six,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Other1,-,,auto,,accumulator,1722356451834,1722356495067,43233,GiveN,Can you put six fish on the plate?,6,six,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
