PID,condition,kl,eventType,trial_ind,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,gi,zo,AND,bignumber,distracted,question,parent,prompt,other,comments,flagged
FL3,&,,auto,,accumulator,1722103851064,1722103859734,8670,GiveN,Can you put five fish on the plate?,5,five,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103860036,8972,GiveN,Can you put five fish on the plate?,5,five,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103861361,10297,GiveN,Can you put five fish on the plate?,5,five,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103861794,10730,GiveN,Can you put five fish on the plate?,5,five,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103863077,12013,GiveN,Can you put five fish on the plate?,5,five,2,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103863444,12380,GiveN,Can you put five fish on the plate?,5,five,2,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103866977,15913,GiveN,Can you put five fish on the plate?,5,five,3,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103867311,16247,GiveN,Can you put five fish on the plate?,5,five,3,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103867908,16844,GiveN,Can you put five fish on the plate?,5,five,4,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103851064,1722103868210,17146,GiveN,Can you put five fish on the plate?,5,five,4,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,trial,,trialsubmit,1722103851064,1722103869586,18522,GiveN,Can you put five fish on the plate?,5,five,5,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103879379,9781,GiveN,Can you put six fish on the plate?,6,six,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103879521,9923,GiveN,Can you put six fish on the plate?,6,six,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103879679,10081,GiveN,Can you put six fish on the plate?,6,six,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103880148,10550,GiveN,Can you put six fish on the plate?,6,six,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103880373,10775,GiveN,Can you put six fish on the plate?,6,six,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103880799,11201,GiveN,Can you put six fish on the plate?,6,six,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL3,&,,auto,,accumulator,1722103869598,1722103883513,13915,GiveN,Can you put six fish on the plate?,6,six,3,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,
