PID,condition,kl,eventType,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,question,comments,flagged
FL4,&,,auto,accumulator,1721501708372,1721501714541,6169,GiveN,Can you put five fish on the plate?,5,five,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,undo,1721501708372,1721501715563,7191,GiveN,Can you put five fish on the plate?,5,five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,toggle,kidaction,1721501708372,1721501717397,9025,GiveN,Can you put five fish on the plate?,5,five,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,toggle,kidaction,1721501708372,1721501718606,10234,GiveN,Can you put five fish on the plate?,5,five,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501719031,10659,GiveN,Can you put five fish on the plate?,5,five,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501719506,11134,GiveN,Can you put five fish on the plate?,5,five,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501720739,12367,GiveN,Can you put five fish on the plate?,5,five,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501724159,15787,GiveN,Can you put five fish on the plate?,5,five,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501725036,16664,GiveN,Can you put five fish on the plate?,5,five,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501725556,17184,GiveN,Can you put five fish on the plate?,5,five,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501725707,17335,GiveN,Can you put five fish on the plate?,5,five,1,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501725889,17517,GiveN,Can you put five fish on the plate?,5,five,2,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501726066,17694,GiveN,Can you put five fish on the plate?,5,five,3,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721501708372,1721501726272,17900,GiveN,Can you put five fish on the plate?,5,five,4,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,
