PID,condition,kl,eventType,instrument,starttime,timestamp,duration,phase,request,target,targetWord,response,kidaction,grab,onebyone,count,group1,group2,group3,more,spontaneousCounting,right,logic,words,one,two,three,four,five,six,seven,eight,nine,ten,gi,zo,AND,bignumber,question,comments,flagged
FL4,&,,auto,accumulator,1721855403469,1721855429696,26227,GiveN,Can you put five fish on the plate?,5,five,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855429986,26517,GiveN,Can you put five fish on the plate?,5,five,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855430237,26768,GiveN,Can you put five fish on the plate?,5,five,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855430470,27001,GiveN,Can you put five fish on the plate?,5,five,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855430688,27219,GiveN,Can you put five fish on the plate?,5,five,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855431279,27810,GiveN,Can you put five fish on the plate?,5,five,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855431469,28000,GiveN,Can you put five fish on the plate?,5,five,1,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855431688,28219,GiveN,Can you put five fish on the plate?,5,five,2,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855431887,28418,GiveN,Can you put five fish on the plate?,5,five,3,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855403469,1721855432106,28637,GiveN,Can you put five fish on the plate?,5,five,4,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,trial,trialsubmit,1721855403469,1721855439429,35960,GiveN,Can you put five fish on the plate?,5,five,5,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855463641,24199,GiveN,Can you put six fish on the plate?,6,six,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855463855,24413,GiveN,Can you put six fish on the plate?,6,six,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855464256,24814,GiveN,Can you put six fish on the plate?,6,six,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855464538,25096,GiveN,Can you put six fish on the plate?,6,six,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855464806,25364,GiveN,Can you put six fish on the plate?,6,six,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855465072,25630,GiveN,Can you put six fish on the plate?,6,six,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855465806,26364,GiveN,Can you put six fish on the plate?,6,six,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855466072,26630,GiveN,Can you put six fish on the plate?,6,six,1,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855468139,28697,GiveN,Can you put six fish on the plate?,6,six,2,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855468756,29314,GiveN,Can you put six fish on the plate?,6,six,3,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855469239,29797,GiveN,Can you put six fish on the plate?,6,six,4,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855469924,30482,GiveN,Can you put six fish on the plate?,6,six,5,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,toggle,spontaneousCounting,1721855439442,1721855470949,31507,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855471640,32198,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,1,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855471938,32496,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,2,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855472239,32797,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,3,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855472522,33080,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,4,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855472840,33398,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,5,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855439442,1721855473250,33808,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,6,,,,,,,,,,,,,,,,,,,
FL4,&,,trial,trialsubmit,1721855439442,1721855476596,37154,GiveN,Can you put six fish on the plate?,6,six,6,,6,,,6,,,,true,6,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855495324,18720,GiveN,Can you put seven fish on the plate?,7,seven,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855495506,18902,GiveN,Can you put seven fish on the plate?,7,seven,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855495724,19120,GiveN,Can you put seven fish on the plate?,7,seven,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855495922,19318,GiveN,Can you put seven fish on the plate?,7,seven,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855496110,19506,GiveN,Can you put seven fish on the plate?,7,seven,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855496273,19669,GiveN,Can you put seven fish on the plate?,7,seven,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855496557,19953,GiveN,Can you put seven fish on the plate?,7,seven,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855496923,20319,GiveN,Can you put seven fish on the plate?,7,seven,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855497109,20505,GiveN,Can you put seven fish on the plate?,7,seven,1,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855497292,20688,GiveN,Can you put seven fish on the plate?,7,seven,2,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855497457,20853,GiveN,Can you put seven fish on the plate?,7,seven,3,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855497623,21019,GiveN,Can you put seven fish on the plate?,7,seven,4,,7,,,5,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855497808,21204,GiveN,Can you put seven fish on the plate?,7,seven,5,,7,,,6,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855498058,21454,GiveN,Can you put seven fish on the plate?,7,seven,6,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,
FL4,&,,toggle,spontaneousCounting,1721855476604,1721855498991,22387,GiveN,Can you put seven fish on the plate?,7,seven,7,,7,,,7,,,,true,,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855499491,22887,GiveN,Can you put seven fish on the plate?,7,seven,7,,7,,,7,,,,true,1,,,,,,,,,,,,,,,,,,,
FL4,&,,auto,accumulator,1721855476604,1721855499673,23069,GiveN,Can you put seven fish on the plate?,7,seven,7,,7,,,7,,,,true,2,,,,,,,,,,,,,,,,,,,
